,nwm_reach_id,ahps,reach_name,usgs_id,usgs_lat,usgs_lon,drain_area_km2,usgs_name
59,5907167,sfsv2,South Fork Shenandoah River,1629500,38.6465,-78.533,3554,"S F Shenandoah River near Luray, VA"
60,5907079,frov2,South Fork Shenandoah River,1631000,38.9141,-78.2106,4232,"S F Shenandoah River at Front Royal, VA"
61,8445436,,Spout Run,1636316,39.0655,-78.0016,55,"Spot Run at Rt 621 near Millwood, VA"
62,8444776,,Bullskin Run,1636464,39.2125,-77.8341,56,"Bullskin Run below Kabletown, WV"
63,8445070,milw2,Shenandoah River,1636500,39.2823,-77.7893,7876,"Shenadoah River at Millville, WV"
64,4505510,,Piney Run,1636690,39.3114,-77.7187,35,"Piney Run near Lovettsville, VA"
65,4505256,,Catoctin Creek,1637500,39.4261,-77.5567,173,"Catocticin Creek near Middletown, MD"
66,4505894,,South Fork Catoctin Creek,1638350,39.1923,-77.6185,82,"S F Catoctin Creek at Rt 698 near Waterford, VA"
67,4505866,,North Fork Catoctin Creek,1638420,39.2062,-77.6267,60,"N F Catoctin Creek at Rt 681 near Waterford, VA"
68,4505612,,Catoctin Creek,1638480,39.2593,-77.5786,232,"Catoctin Creek at Taylorstown, VA"
69,4507348,porm2,Potomac River,1638500,39.2735,-77.5432,24996,"Potomac River at Point of Rocks, MD"
70,8448416,,Monocacy River,1639000,39.6807,-77.238,448,"Monocacy River at Bridgeport, MD"
71,8449082,,Big Pipe Creek,1639500,39.6131,-77.2394,264,"Big Pipe Creek at Bruceville, MD"
72,8450100,,Monocacy River,1642190,39.4436,-77.3836,1821,"Monocacy River at Monocacy Blvd at Frederick, MD"
73,8450266,,Monocacy River,1643000,39.4022,-77.3658,2116,"Monocacy River at Jug Bridge near Frederick, MD"
74,8450912,,Soper Branch,1643395,39.2758,-77.304,3,"Soper Branch at Hyattstown, MD"
75,8450600,,Bennet Creek,1643500,39.295,-77.4111,163,"Bennet Creek at Park Mills, MD"
76,4506028,,Limestone Branch,1643590,39.1694,-77.5347,20,"Limstone Branch near Leesburg, VA"
77,4508750,,Goose Creek,1643700,38.9872,-77.7973,316,"Goose Creek near Middleburg, VA"
78,4506770,,Beaverdam Creek,1643880,39.0384,-77.7204,122,"Beaverdam Creek at Rt 734 near Mountville, VA"
79,4506604,,N F Goose Creek,1643805,39.0736,-77.684,99,"N F Goose Creek at Rt 729 near Lincln, VA"
80,4507266,leev2,Goose Creek,1644000,39.0203,-77.578,860,"Goose Creek near Leesburg, VA"
81,4506736,,Broad Run,1644280,39.0473,-77.4328,197,"Broad Run near Leesburg, VA"
82,4505772,,Tenmile Creek,1644388,39.2231,-77.3125,-9999,"Tenmile Creek near Clarksburg, MD"
83,4505876,,Tenmile Creek,1644390,39.2148,-77.3162,-9999,"Tenmile Creek near Boyds, MD"
84,4505912,,Cabin Branch,1644380,39.2074,-77.2888,2,"Cabin Branch near Boyds, MD"
85,4505702,,Little Seneca Creek,1644371,39.2321,-77.2565,1,"Little Seneca Creek Tributary near Clarksburg, MD"
86,4507200,,Little Seneca Creek,1644372,39.2228,-77.2496,1,"Little Seneca Creek Tributary at Brink, MD"
87,4507210,,Little Seneca Creek,1644375,39.1997,-77.275,3,"Little Seneca Creek Tributary near Germantown, MD"
88,4506374,,"Seneca Creek at Dawsonville, MD",1645000,39.1281,-77.3365,262,"Seneca Creek at Dawsonville, MD"
89,4509120,,Difficult Run,1645704,38.885,-77.3338,14,"Difficult Run above Fox Lake near Fairfax, VA"
90,4509040,,S F Little Difficult Run,1645762,38.9107,-77.3393,7,"S F Little Difficult Run above Mouth near Viena, VA"
91,4509202,,Difficult Run,1646000,38.796,-77.2458,150,"Difficult Run near Great Falls, VA"
92,4508904,,Dead Run,1646305,38.9609,-77.1752,5.3,"Dead Run at Whann Avenue near McLean, VA"
93,4512772,brkm2,Potomac River,1646500,38.9497,-77.1279,29940,"Potomac River (Little Falls Pump Station) near Washington, DC"
94,22337429,,Turkey Branch,1647850,39.0692,-77.0812,7,"Turkey Branch near Rockville, MD"
95,22338431,,Rock Creek,1648000,38.9723,-77.0404,161,"Rock Creek at Sherril Drive Washington, DC"
96,22337513,,NW Branch Anacostia River,1650500,39.0654,-77.0303,54,"NW Branch Anacostia River near Colesville, MD"
97,22338427,,Sligo Creek,1650800,38.987,-77.0056,17,"Sligo Creek near Takoma Park, MD"
98,22337977,,NW Branch  Anacostia River,1651000,38.9522,-76.9663,128,"NW Branch Anacostia River near Hyattsville, MD"
99,22336303,,Paint Branch Tributary,1649150,39.0894,-76.9891,3,"Paint Branch Tributary near Colesville, MD"
100,22336379,,Paint Branch,1649190,39.034,-76.9658,34,"Paint Branch near College Park, MD"
101,22337975,,NE Branch Anacostia River,1649500,38.9606,-76.9266,189,"NE Branch Anacostia River at Riverdale, MD"
102,22337781,,Watts Branch,1651800,38.901,-76.9431,8,"Watts Branch at Washington, DC"
103,22340313,,Four Mile Run,1652500,38.8433,-77.086,33,"Four Mile Run at Alexandria, VA"
104,22340339,,Cameron Run,1653000,38.8066,-77.1097,88,"Cameron Run at Alexandria, VA"
105,22340329,,Long Branch,1654500,38.8107,-77.2348,10,"Long Branch near Annandale, VA"
106,22340331,,Accotink Creek,1654000,38.8127,-77.228,62,"Accotink Creek near Annandale, VA"
107,22338051,,Piscataway Creek,1653600,38.7066,-76.9674,102,"Piscataway Creek at Piscataway, MD"
108,4529063,,Mattawoman Creek,1658000,38.5972,-77.0567,142,"Mattawoman Creek near Pomonkey, MD"
109,22339947,,Cedar Run,1656000,38.6375,-77.6239,242,"Cedar Run near Catlett, VA"
110,4529107,,S F Quantico Creek,1658500,38.5887,-77.4282,20,"S F Quantico Creek near Independent Hill, VA"
111,4533657,,Aquia Creek,1660400,38.4909,-77.433,91,"Aquia Creek near Garrisonville, VA"
112,4530567,,Zekiah Swamp Run,1660920,38.4927,-76.9273,207,"Zekiah Swamp Run near Newtown, MD"
113,4530917,,St. Clement Creek,1661050,38.3334,-76.7227,48,"St. Clement Creek near Clements, MD"
114,4531853,,St. Marys River,1661500,38.2418,-76.503,62,"St. Marys River at Great Mills, MD"
115,22338623,,Bull Run,0,38.889568,-77.570139,67,"Bull Run at State Hw 705, VA"
116,22340341,,Cub Run,0,38.821043,-77.465973,130,"Cub Run at State Hw 658 Bridge, VA"
117,22339083,,Bull Run,0,38.803123,-77.449252,386,"Bull Run at State Hw 28 Bridge, VA"
118,22339137,,Broad Run,0,38.780521,-77.672106,130,"Broad Run at Lee Hw Bridge, VA"
119,22340381,,Broad Run,0,38.749425,-77.563289,233,"Broad Run at Hw 619 Bridge, VA"
120,22340095,,Cedar Run,0,38.61508,-77.55342,401,"Cedar Run at Fleetwood Dr Bridge, VA"
121,22340833,,Occoquan River,0,38.705276,-77.445254,886,"Occoquan River at Dumfries Rd Bridge, VA"
122,22340795,,Occoquan River,0,38.693988,-77.276934,1476,"Occoquan River at Occoquan Dam, VA"
